date,temperature,humidity,luminosity
2020-12-03 16:36:27.691,24.0,17.0,106
2020-12-03 16:36:25.418,24.1,17.2,106
2020-12-03 16:36:23.145,24.0,17.2,105
2020-12-03 16:36:20.871,24.0,17.3,105
2020-12-03 16:36:18.598,24.0,17.4,106
2020-12-03 16:36:16.329,24.0,17.6,105
2020-12-03 16:36:14.055,24.0,17.7,103
2020-12-03 16:36:11.782,24.0,17.8,102
2020-12-03 16:36:09.571,23.9,17.7,97
2020-12-03 16:36:07.236,23.9,17.6,104
2020-12-03 16:36:04.967,23.9,17.7,108
2020-12-03 16:36:02.694,23.9,17.8,101
2020-12-03 16:36:00.421,23.8,17.8,105
2020-12-03 16:35:58.148,23.8,17.3,110
2020-12-03 16:35:55.874,23.8,17.3,102
2020-12-03 16:35:53.601,23.7,17.4,104
2020-12-03 16:35:51.332,23.7,17.4,105
2020-12-03 16:35:49.058,23.7,17.4,112
2020-12-03 16:35:46.785,23.6,17.4,105
2020-12-03 16:35:44.512,23.6,17.5,105
2020-12-03 16:35:42.239,23.5,17.5,104
2020-12-03 16:35:39.966,23.5,17.6,104
2020-12-03 16:35:37.697,23.5,17.7,110
2020-12-03 16:35:35.424,23.5,17.8,101
2020-12-03 16:35:33.151,23.5,18.0,104
2020-12-03 16:35:30.878,23.4,18.0,106
2020-12-03 16:35:28.604,23.2,17.9,103
2020-12-03 16:35:26.331,23.2,16.8,112
2020-12-03 16:35:24.062,23.1,16.4,108
2020-12-03 16:35:21.789,23.0,16.1,112
2020-12-03 16:35:19.515,23.0,16.0,117
2020-12-03 16:35:17.242,23.1,16.1,106
2020-12-03 16:35:14.969,23.1,16.1,109
2020-12-03 16:35:12.700,23.2,16.1,107
2020-12-03 16:35:10.427,23.2,16.1,106
2020-12-03 16:35:08.153,23.3,16.2,107
2020-12-03 16:35:05.881,23.3,16.2,106
2020-12-03 16:35:03.607,23.4,16.2,96
2020-12-03 16:35:01.338,23.4,16.2,104
2020-12-03 16:34:59.064,23.5,16.3,100
2020-12-03 16:34:56.792,23.6,16.4,111
2020-12-03 16:34:54.518,23.6,16.3,107
2020-12-03 16:34:52.245,23.6,16.3,107
2020-12-03 16:34:49.976,23.7,16.3,108
2020-12-03 16:34:47.703,23.7,16.3,103
2020-12-03 16:34:45.430,23.8,16.2,107
2020-12-03 16:34:43.156,23.8,16.2,106
2020-12-03 16:34:40.883,23.8,16.1,107
2020-12-03 16:34:38.613,23.9,16.2,106
2020-12-03 16:34:36.340,23.9,16.1,106
2020-12-03 16:34:34.106,23.9,16.1,106
2020-12-03 16:34:31.794,24.0,16.2,103
2020-12-03 16:34:29.521,24.0,16.3,105
2020-12-03 16:34:27.251,24.0,16.3,105
2020-12-03 16:34:24.979,24.0,16.3,105
2020-12-03 16:34:22.706,24.0,16.3,105
2020-12-03 16:34:20.432,24.0,16.3,105
2020-12-03 16:34:18.158,23.9,16.3,105
2020-12-03 16:34:15.889,23.9,16.3,105
2020-12-03 16:34:13.616,23.9,16.3,105
2020-12-03 16:34:11.343,23.9,16.3,105
2020-12-03 16:34:09.070,23.9,16.3,105
2020-12-03 16:34:06.797,23.8,16.3,105
2020-12-03 16:34:04.528,23.8,16.4,105
2020-12-03 16:34:02.254,23.8,16.4,105
2020-12-03 16:33:59.981,23.7,16.3,106
2020-12-03 16:33:57.708,23.7,16.3,105
2020-12-03 16:33:55.436,23.7,16.4,105
2020-12-03 16:33:53.166,23.6,16.3,105
2020-12-03 16:33:50.893,23.6,16.4,105
2020-12-03 16:33:48.620,23.6,16.4,105
2020-12-03 16:33:46.347,23.5,16.3,105
2020-12-03 16:33:44.074,23.5,16.4,105
2020-12-03 16:33:41.804,23.4,16.3,105
2020-12-03 16:33:39.531,23.4,16.3,105
2020-12-03 16:33:37.258,23.3,16.3,105
2020-12-03 16:33:34.986,23.3,16.3,105
2020-12-03 16:33:32.712,23.2,16.2,105
2020-12-03 16:33:30.442,23.2,16.2,105
2020-12-03 16:33:28.169,23.1,16.2,105
2020-12-03 16:33:25.896,23.1,16.2,105
2020-12-03 16:33:23.624,23.0,16.1,105
2020-12-03 16:33:21.350,23.1,16.1,105
2020-12-03 16:33:19.081,23.1,16.1,105
2020-12-03 16:33:16.807,23.1,16.0,105
2020-12-03 16:33:14.535,23.2,16.1,104
2020-12-03 16:33:12.261,23.2,16.1,106
2020-12-03 16:33:09.987,23.3,16.1,106
2020-12-03 16:33:07.719,23.3,16.1,106
2020-12-03 16:33:05.445,23.3,16.1,105
2020-12-03 16:33:03.172,23.4,16.1,104
2020-12-03 16:33:00.899,23.4,16.1,105
2020-12-03 16:32:58.626,23.4,16.1,105
2020-12-03 16:32:56.356,23.5,16.0,103
2020-12-03 16:32:54.083,23.5,16.0,101
2020-12-03 16:32:51.810,23.5,15.9,104
2020-12-03 16:32:49.538,23.6,15.9,105
2020-12-03 16:32:47.264,23.6,15.9,106
2020-12-03 16:32:44.996,23.7,16.0,107
2020-12-03 16:32:42.721,23.8,16.0,109
2020-12-03 16:32:40.448,23.8,16.0,108
2020-12-03 16:32:38.175,23.9,16.0,112
2020-12-03 16:32:35.902,24.0,16.1,106
2020-12-03 16:32:33.634,24.1,16.2,108
2020-12-03 16:32:31.359,24.1,16.2,107
2020-12-03 16:32:29.086,24.2,16.2,108
2020-12-03 16:32:26.814,24.2,16.3,105
2020-12-03 16:32:24.540,24.2,16.4,107
2020-12-03 16:32:22.270,24.2,16.4,107
2020-12-03 16:32:19.997,24.2,16.5,107
2020-12-03 16:32:17.724,24.1,16.4,108
2020-12-03 16:32:15.451,24.1,16.5,108
2020-12-03 16:32:13.178,24.0,16.4,109
2020-12-03 16:32:10.909,24.0,16.5,110
2020-12-03 16:32:08.635,24.0,16.5,114
2020-12-03 16:32:06.363,23.9,16.5,105
2020-12-03 16:32:04.089,23.8,16.5,105
2020-12-03 16:32:01.816,23.8,16.6,104
2020-12-03 16:31:59.544,23.7,16.5,105
